Customer ID,Customer Name,Customer Type,School Level,Year,Year (datetime),Population,Install Date,Install Year,Decommission Date,Decommission Year,Coordinates,Source
7,Busega PS,School,Primary,2018,2018-01-01,338,2016-11-30,2016,2026-01-01,2026,"0.3132312882486539, 32.53188300491036",Calculated
7,Busega PS,School,Primary,2019,2019-01-01,270,2016-11-30,2016,2026-01-01,2026,"0.3132312882486539, 32.53188300491036",Calculated
7,Busega PS,School,Primary,2020,2020-01-01,52,2016-11-30,2016,2026-01-01,2026,"0.3132312882486539, 32.53188300491036",Calculated
7,Busega PS,School,Primary,2021,2021-01-01,52,2016-11-30,2016,2026-01-01,2026,"0.3132312882486539, 32.53188300491036",Inferred
7,Busega PS,School,Primary,2022,2022-01-01,52,2016-11-30,2016,2026-01-01,2026,"0.3132312882486539, 32.53188300491036",Inferred
7,Busega PS,School,Primary,2023,2023-01-01,52,2016-11-30,2016,2026-01-01,2026,"0.3132312882486539, 32.53188300491036",Inferred
7,Busega PS,School,Primary,2024,2024-01-01,52,2016-11-30,2016,2026-01-01,2026,"0.3132312882486539, 32.53188300491036",Inferred
7,Busega PS,School,Primary,2025,2025-01-01,52,2016-11-30,2016,2026-01-01,2026,"0.3132312882486539, 32.53188300491036",Inferred
8,Mackay Memorial PS,School,Primary,2016,2016-01-01,800,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Calculated
8,Mackay Memorial PS,School,Primary,2017,2017-01-01,796,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Calculated
8,Mackay Memorial PS,School,Primary,2018,2018-01-01,799,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Calculated
8,Mackay Memorial PS,School,Primary,2019,2019-01-01,803,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Calculated
8,Mackay Memorial PS,School,Primary,2020,2020-01-01,779,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Calculated
8,Mackay Memorial PS,School,Primary,2021,2021-01-01,779,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Inferred
8,Mackay Memorial PS,School,Primary,2022,2022-01-01,779,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Inferred
8,Mackay Memorial PS,School,Primary,2023,2023-01-01,779,2016-11-12,2016,2026-01-01,2026,"0.30903486607385955, 32.535037367671556",Inferred
