Customer ID,Customer Name,Customer Type,Loc ID,,Loc ID,District,Coordinates,,,Latitude ,Longitude,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,Latest Population (per Customer ID),Total Population (Latest Year Only) ,Latest year for this row’s customer,Is this row the latest year for that customer?,Population (Latest Year Only),Total Population (Latest Year Only),,"Total Population (Latest Year Only) AI Version I can't understand, here for sanity check"
17,Victory Junior PS,School,17,,17,,"0.5106429,32.364049",,,0.5106429,32.364049,,12,16,Hope Vision PS #1,Lighting Only,Offline,12/23/2017,,12,16,Hope Vision PS #1,Lighting Only,Offline,12/23/2017,,4,2017,350.00,Calculated,350,,2021,FALSE,,,,
18,ABC Nateete PS,School,18,,18,Kampala,"0.3052125,32.537384",,,0.3052125,32.537384,,13,17,Kasubi Church of Uganda PS #1,Lighting Only,Abandoned,NA,,13,17,Kasubi Church of Uganda PS #1,Lighting Only,Abandoned,NA,,4,2018,350.00,Inferred,350,,2021,FALSE,,,,
19,Kitimba HC,Health Centre,19,,19,Mpigi,"0.29660241578113344, 32.26752448769217",,,0.2966024158,32.26752449,,14,18,Kinaawa Parents Academy SS #1,Lighting Only,Decommissioned,11/17/2017,,14,18,Kinaawa Parents Academy SS #1,Lighting Only,Decommissioned,11/17/2017,,4,2019,350.00,Inferred,350,,2021,FALSE,,,,
20,Kitimba PS,School,20,,20,Mpigi,"0.2960196190726445, 32.26807316401277",,,0.2960196191,32.26807316,,15,19,Little Flower PS/N #1,Lighting Only,Installed,12/9/2017,,15,19,Little Flower PS/N #1,Lighting Only,Installed,12/9/2017,,4,2020,350.00,Inferred,350,,2021,FALSE,,,,
21,Kisoko SS,School,21,,21,West Budama,"0.7197708749655422, 34.01854492288583",,,0.719770875,34.01854492,,16,20,St. Joseph Nkooko SSS #1,Lighting Only,Installed,12/29/2017,,16,20,St. Joseph Nkooko SSS #1,Lighting Only,Installed,12/29/2017,,4,2021,350.00,Inferred,350,,2021,TRUE,350.00,,,
22,Kamugombwa PS,School,22,,22,Mpigi,"0.27866710151157986, 32.27007301282958",,,0.2786671015,32.27007301,,17,21,Victory Junior PS #1,Lighting Only,Offline,12/14/2017,,17,21,Victory Junior PS #1,Lighting Only,Offline,12/14/2017,,5,2016,385.00,Inferred,364,,2019,FALSE,,,,
23,Seeta Bweya PS,School,23,,23,Mpigi,"0.25467001683840595, 32.245984450269184",,,0.2546700168,32.24598445,,18,22,ABC Nateete PS #1,Lighting Only,Offline,10/21/2017,,18,22,ABC Nateete PS #1,Lighting Only,Offline,10/21/2017,,5,2017,385.00,Inferred,364,,2019,FALSE,,,,
24,Lukalu PS,School,24,,24,Mpigi,"0.2572615436892138, 32.27786738929855",,,0.2572615437,32.27786739,,19,23,Kitimba HC #1,Lighting Only,Installed,11/21/2018,,19,23,Kitimba HC #1,Lighting Only,Installed,11/21/2018,,5,2018,322.00,Calculated,364,,2019,FALSE,,,,
25,Lukalu SS,School,25,,25,Mpigi,"0.2568425907255054, 32.27777787662353",,,0.2568425907,32.27777788,,19,24,Kitimba HC #2,Fridge,Decommissioned,11/21/2018,,19,24,Kitimba HC #2,Fridge,Decommissioned,11/21/2018,,5,2019,364.00,Calculated,364,,2019,TRUE,364.00,,,
26,New Hope Vocational Institute VS,School,26,,26,Kaihura,"0.6947444520079005, 30.610227337983165",,,0.694744452,30.61022734,,20,25,Kitimba PS #1,Lighting Only,Offline,10/15/2018,,20,25,Kitimba PS #1,Lighting Only,Offline,10/15/2018,,6,2016,0.00,Calculated,552,,2026,FALSE,,,,
27,High Hope PS,School,27,,27,Kaihura,"0.6476855367735794, 30.56996820426911",,,0.6476855368,30.5699682,,21,26,Kisoko SS #1,Lighting Only,Installed,6/4/2018,,21,26,Kisoko SS #1,Lighting Only,Installed,6/4/2018,,6,2017,403.00,Calculated,552,,2026,FALSE,,,,
28,Joy Christian PS,School,28,,28,Kyenjojo,"0.612186368222477, 30.642939077484414",,,0.6121863682,30.64293908,,22,27,Kamugombwa PS #1,Lighting Only,Installed,10/15/2018,,22,27,Kamugombwa PS #1,Lighting Only,Installed,10/15/2018,,6,2018,414.00,Calculated,552,,2026,FALSE,,,,
29,Hope Again HC,Health Centre,29,,29,Kaihura,"0.6419277456535877, 30.577645473565177",,,0.6419277457,30.57764547,,23,28,Seeta Bweya PS #1,Lighting Only,Offline,10/15/2018,,23,28,Seeta Bweya PS #1,Lighting Only,Offline,10/15/2018,,6,2019,491.00,Calculated,552,,2026,FALSE,,,,
30,Mpanga UMEA PS,School,30,,30,Butambala,"0.29291343557468547, 32.256133810738355",,,0.2929134356,32.25613381,,24,29,Lukalu PS #1,Lighting Only,Installed,10/15/2018,,24,29,Lukalu PS #1,Lighting Only,Installed,10/15/2018,,6,2020,552.00,Calculated,552,,2026,FALSE,,,,
31,St. Posiano Lwere PS,School,31,,31,Butambala,"0.28239605366176257, 32.271656082644",,,0.2823960537,32.27165608,,25,30,Lukalu SS #1,Lighting Only,Installed,10/15/2018,,25,30,Lukalu SS #1,Lighting Only,Installed,10/15/2018,,6,2021,552.00,Inferred,552,,2026,FALSE,,,,
32,Kakubo UMEA PS,School,32,,32,Butambala,"0.27866876712257194, 32.270061356730025",,,0.2786687671,32.27006136,,25,31,Lukalu SS #2,Lighting Only,Offline,10/15/2018,,25,31,Lukalu SS #2,Lighting Only,Offline,10/15/2018,,6,2022,552.00,Inferred,552,,2026,FALSE,,,,
33,St. Kizito Bulugu PS,School,33,,33,Butambala,"0.27196, 32.22813",,,0.27196,32.22813,,26,32,New Hope Vocational Institute VS #1,Lighting Only,Installed,1/16/2019,,26,32,New Hope Vocational Institute VS #1,Lighting Only,Installed,1/16/2019,,6,2023,552.00,Inferred,552,,2026,FALSE,,,,
