Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,"Total Population (All Years, per Customer)","Total Population (All Customers, All Years)",,Customer ID,Customer Name,Customer Type,School Level,Public or Private,Loc ID,,Loc ID,District,Coordinates
24,29,Lukalu PS #1,Lighting Only,Installed,10/15/2018,,6,2020,552.00,Calculated,5172,,,30,Mpanga UMEA PS,School,Primary,Public,30,,30,Butambala,"0.29291343557468547, 32.256133810738355"
25,30,Lukalu SS #1,Lighting Only,Installed,10/15/2018,,6,2021,552.00,Inferred,5172,,,31,St. Posiano Lwere PS,School,Primary,Public,31,,31,Butambala,"0.28239605366176257, 32.271656082644"
25,31,Lukalu SS #2,Lighting Only,Offline,10/15/2018,,6,2022,552.00,Inferred,5172,,,32,Kakubo UMEA PS,School,Primary,Public,32,,32,Butambala,"0.27866876712257194, 32.270061356730025"
26,32,New Hope Vocational Institute VS #1,Lighting Only,Installed,1/16/2019,,6,2023,552.00,Inferred,5172,,,33,St. Kizito Bulugu PS,School,Primary,Public,33,,33,Butambala,"0.27196, 32.22813"
27,33,High Hope PS #1,Lighting Only,Nearing EOL,1/22/2019,,6,2024,552.00,Inferred,5172,,,34,Kaggulwe PS,School,Primary,Public,34,,34,Butambala,
28,34,Joy Christian PS #1,Lighting Only,Nearing EOL,1/28/2019,,6,2025,552.00,Inferred,5172,,,35,Kaggulwe SS,School,Secondary,Public,35,,35,Butambala,
29,35,Hope Again HC #1,Lighting Only,Nearing EOL,1/31/2019,,6,2026,552.00,Inferred,5172,,,36,Kabasanda UMEA PS,School,Primary,Public,36,,36,Butambala,"0.2640463735216982, 32.225413077584435"
31,36,St. Posiano Lwere PS #1,Lighting Only,Abandoned,NA,,7,2016,297.00,Calculated,1592,,,37,Kabasanda HC II,Health Centre,,,37,,37,Butambala,
31,37,St. Posiano Lwere PS #2,Lighting Only,Abandoned,NA,,7,2017,323.00,Calculated,1592,,,38,Sayidina Abubakar SS,School,Secondary,Public,38,,38,Butambala,"0.2670887832784029, 32.221034026252795"
30,38,Mpanga UMEA PS #1,Lighting Only,Installed,4/20/2021,,7,2018,338.00,Calculated,1592,,,39,Nsonzibirye UMEA PS,School,Primary,,39,,39,,"0.29165164572113117, 32.20493541489415"
30,39,Mpanga UMEA PS #2,Lighting Only,Abandoned,NA,,7,2019,270.00,Calculated,1592,,,40,Kawami C/U PS,School,Primary,Public,40,,40,Butambala,"0.21131643187858895, 32.20998903344768"
32,40,Kakubo UMEA PS #1,Lighting Only,Installed,4/24/2021,,7,2020,52.00,Calculated,1592,,,41,Kawami C/S PS,School,Primary,Public,41,,41,Butambala,"0.21702231068504635, 32.20161073195926"
32,41,Kakubo UMEA PS #2,Lighting Only,Abandoned,NA,,7,2021,52.00,Inferred,1592,,,42,Kisununu C/S PS,School,Primary,Public,42,,42,Butambala,
38,42,Sayidina Abubakar SS #1,Lighting Only,Design,NA,,7,2022,52.00,Inferred,1592,,,43,Kikunyu PS,School,Primary,Private,43,,43,Butambala,"0.16053803363018557, 32.22912684457227"
38,43,Sayidina Abubakar SS #2,Lighting Only,Design,NA,,7,2023,52.00,Inferred,1592,,,44,Kikunyu Modern PS,School,Primary,,44,,44,,"0.2505706550130355, 32.2028910604319"
38,44,Sayidina Abubakar SS #3,Lighting Only,Design,NA,,7,2024,52.00,Inferred,1592,,,45,St. Joseph Kikkunyu PS,School,Primary,Public,45,,45,Butambala,"0.29084072056539617, 32.20643998095017"
33,45,St. Kizito Bulugu PS #1,Lighting Only,Installed,5/17/2021,,7,2025,52.00,Inferred,1592,,,46,Kilokola HC II,Health Centre,,,46,,46,,"0.23309606746088915, 32.19170124393598"
33,46,St. Kizito Bulugu PS #2,Lighting Only,Abandoned,NA,,7,2026,52.00,Inferred,1592,,,47,Mavugeera Umea PS,School,Primary,Public,47,,47,Butambala,"0.2260857725592653, 32.20184334409765"
35,47,Kaggulwe SS #1,Lighting Only,Design,NA,,8,2016,800.00,Calculated,8651,,,48,Buyenga Q/S PS,School,Primary,Public,48,,48,Butambala,"0.2426636393601461, 32.21167347705285"
35,48,Kaggulwe SS #2,Lighting Only,Design,NA,,8,2017,796.00,Calculated,8651,,,49,Senge HC III,Health Centre,,,49,,49,Butambala,
36,49,Kabasanda UMEA PS #1,Lighting Only,Design,NA,,8,2018,799.00,Calculated,8651,,,50,Butambala School for the Deaf PS,School,Primary,,50,,50,,
36,50,Kabasanda UMEA PS #2,Lighting Only,Abandoned,NA,,8,2019,803.00,Calculated,8651,,,51,Kibibi UMEA PS,School,Primary,Public,51,,51,Butambala,"0.23093761359084192, 32.17586519778935"
42,51,Kisununu C/S PS #1,Lighting Only,Abandoned,NA,,8,2020,779.00,Calculated,8651,,,52,Kibibi SS,School,Secondary,Public,52,,52,Butambala,"0.23088669588942642, 32.18135739785007"
34,52,Kaggulwe PS #1,Lighting Only,Design,NA,,8,2021,779.00,Inferred,8651,,,53,Kibibi C/U PS,School,Primary,Public,53,,53,Butambala,"0.23372, 32.16926"
34,53,Kaggulwe PS #2,Lighting Only,Abandoned,NA,,8,2022,779.00,Inferred,8651,,,54,Bwebukya UMEA PS,School,Primary,,54,,54,,"0.2292197939594243, 32.15594218958148"
41,54,Kawami C/S PS #1,Lighting Only,Installed,5/4/2021,,8,2023,779.00,Inferred,8651,,,55,Simba Islamic PS,School,Primary,Public,55,,55,Butambala,"0.24338529610769266, 32.16047135543981"
48,55,Buyenga Q/S PS #1,Lighting Only,Installed,5/12/2021,,8,2024,779.00,Inferred,8651,,,56,Katabira Parents PS,School,Primary,,56,,56,,
49,56,Senge HC III #1,Lighting Only,Design,NA,,8,2025,779.00,Inferred,8651,,,57,Bujumba C/S PS,School,Primary,,57,,57,,
49,57,Senge HC III #2,Lighting Only,Design,NA,,8,2026,779.00,Inferred,8651,,,58,Mabanda Islamic PS,School,Primary,,58,,58,,
47,58,Mavugeera Umea PS #1,Lighting Only,Abandoned,NA,,9,2016,348.00,Calculated,3209,,,59,Mabanda C/S PS,School,Primary,,59,,59,,
35,59,Kaggulwe SS #3,Lighting Only,Design,NA,,9,2017,354.00,Calculated,3209,,,60,Mitwetwe Parents PS,School,Primary,,60,,60,,
45,60,St. Joseph Kikkunyu PS #1,Lighting Only,Installed,4/29/2021,,9,2018,352.00,Calculated,3209,,,61,Lugoye UMEA PS,School,Primary,,61,,61,,
40,61,Kawami C/U PS #1,Lighting Only,Offline,5/8/2021,,9,2019,356.00,Calculated,3209,,,62,Kayenje C/S PS,School,Primary,Public,62,,62,Butambala,"0.18126463548449379, 32.094237314499466"
43,62,Kikunyu PS #1,Lighting Only,Abandoned,NA,,9,2020,257.00,Calculated,3209,,,63,Gwatiro C/U PS,School,Primary,,63,,63,,
28,63,Joy Christian PS - Classroom #1,Lighting Only,Design,NA,,9,2021,257.00,Inferred,3209,,,64,Kayenje C/U PS,School,Primary,Public,64,,64,Butambala,"0.1847286065167981, 32.099080338263235"
28,64,Joy Christian PS - Classroom #2,Lighting Only,Design,NA,,9,2022,257.00,Inferred,3209,,,65,Kwezi Muslim PS,School,Primary,,65,,65,,
28,65,Joy Christian PS - Dorms #1,Lighting Only,Design,NA,,9,2023,257.00,Inferred,3209,,,66,Bunyenye UMEA PS,School,Primary,,66,,66,,
28,66,Joy Christian PS - Dorms #2,Lighting Only,Abandoned,NA,,9,2024,257.00,Inferred,3209,,,67,Budde SS,School,Secondary,Public,67,,67,Butambala,"0.13061169040075618, 32.18117026633471"
103,67,Bulo HC III #1,Lighting Only,Installed,12/11/2021,,9,2025,257.00,Inferred,3209,,,68,Kibugga C/S PS,School,Primary,,68,,68,Butambala,"0.11172639963379372, 31.999061241658268"
104,68,Ngando HC III #1,Lighting Only,Installed,11/13/2021,,9,2026,257.00,Inferred,3209,,,69,Ssempiira Ben PS,School,Primary,Public,69,,69,Butambala,"0.1868032943847937, 32.13792670223035"
105,69,Kyabadaza HC III #1,Lighting Only,Installed,11/13/2021,,10,2017,"1,255.00",Calculated,15514,,,70,Gombe SS,School,Secondary,,70,,70,,
31,70,St. Posiano Lwere PS #1,Lighting Only,Installed,12/11/2021,,10,2018,"1,024.00",Calculated,15514,,,71,Kasoso C/S PS,School,Primary,,71,,71,,"0.14026131789630597, 32.0798361583464"
